Messages,Start Date,District,Communication Channel,The message contains
we are afraid of covid 19 vaccine because it is not safe.,11/9/2022,Western Urban,Market/Shops/Street,Rumors
"they want to reduce our number through covid 19 vaccine, because of population increasing",11/9/2022,Western Urban,Word of mouth,Concerns
"the people want the vaccine,hand washing and soap",11/9/2022,Western Urban,Word of mouth,Concerns
some people are saying that vaccine make them sleep a lote,11/9/2022,Western Urban,Word of mouth,Concerns
some have taking the first doses but not the second doses,11/9/2022,Western Urban,Word of mouth,Information
so people take the vaccine nothing happened to them,11/9/2022,Western Urban,Word of mouth,Concerns
"people are using lemon orange tied with a rope and hangings on their heads,they said they are experiences other outbreak called swelling jaws and its started affects other children's,that why they used a lemon orange with a rope and hangings on their heads to prevent themselves against swelling jaw sickness.",11/9/2022,Kambia,Word of mouth,Information
suspected of measles outbreak,11/7/2022,Kambia,Word of mouth,Concerns
covid-19 vaccines are preventable,11/8/2022,Kambia,Word of mouth,Concerns
ebola outbreak in mambolo,11/9/2022,Kambia,WhatsApp,Information
coronavirus is real,11/8/2022,Bo,Word of mouth,Information
when you take covid 19 marklate i feel headache,11/8/2022,Bo,Religious event Word of mouth,Rumors
when you take the coronavirus marklate you feel secure from the various,11/9/2022,Bo,Word of mouth,Information
i have diarrhea when i drink this water,11/9/2022,Bo,Word of mouth,Information
said effect after intakeing the covid19 vaccine,11/8/2022,Kono,Word of mouth,Information
kondeya line(sandor c/dom) phu cry for medical support.,11/10/2022,Kono,Word of mouth Radio,Concerns
i didn't take the covid 19 vaccine because i was not around the country and i don't think i can take it now because there is no more covid in sierra leone,11/10/2022,Western Urban,Word of mouth,Rumors
malaria and faver is in the increase at portee,11/7/2022,Western Rural,Word of mouth,Information
women's are wicked,11/10/2022,Bonthe,WhatsApp,Information
women's are wicked,11/10/2022,Bonthe,WhatsApp,Rumors
i met a pregnant woman who told me she had never took the covid 19 vaccine and that she wants to take if it advice able in her condition.,11/10/2022,Western Urban,Word of mouth,Information
"a young lady at the age of 19 told me she had of the covid-19 vaccine and it effect,so she said at first she was afraid to take the covid-19 vaccine but now she needs it.",11/10/2022,Western Urban,Word of mouth,Information
a biker rider told me he took the covid-19 vaccine and he felt weak i     was afraid i thought something bad would happen to me but after some time i was okay.,11/10/2022,Western Urban,Word of mouth,Information
i went to a community field were i met a player who told me he took the covid-19 vaccine in the morning and was unable to continue with his training in the evening because of the effects of the vaccine.,11/10/2022,Western Urban,Word of mouth,Information
is covid real,11/2/2022,Western Urban,Word of mouth,Concerns
taking the covid vaccine makes us sick,11/10/2022,Western Urban,Word of mouth,Information
"there is a debate with in the people, the community people said that, ebola killed thousand of people in sierra leone.",11/10/2022,Kambia,Word of mouth,Rumors
after taking covid-19 vaccine his hand become so heavy.,11/10/2022,Bo,Religious event Word of mouth,Information
mr mamud side he take 1st and 2nd does of covid 19 vaccine and he feel weak and sick then my brother reject not to take the first dose of the vaccine,11/10/2022,Western Urban,Word of mouth,Concerns
"i hear from cla social mobilizes and the health staffs  that there is going to be a time if someone at the age of 12 and above did not have the covid 19 vaccination card  will not be allow to  attend any public meeting , public transport , bank or going in and out of this country .",11/10/2022,Kono,Social mobilization Activities Word of mouth Radio,Information
i was afraid of taking the covid 19 vaccine because i hear that it is going to affect / kill all those that have taken it .,11/10/2022,Kono,Word of mouth WhatsApp,Misinformation
sierra leone risk disaster reduction introduced in schools,11/7/2022,Bo,WhatsApp,Information
covid-19 is nowhere to be seen and why mr. sannoh you are using the facemask?.,11/8/2022,Bo,Public event Word of mouth,Misinformation
the massage is some people at lungi to day said there is no covid-19 in sierra leone is just that the government is trying make money,11/9/2022,Port Loko,Word of mouth,Misinformation
covid-19 vaccine causes swollen in people and as a matter of she will not take it.,11/10/2022,Bo,Word of mouth,Misinformation
some say there is covid-19 in sierra leone,11/10/2022,Port Loko,Word of mouth,Information
covid-19 vaccination uptake is reliable and safe,11/10/2022,Port Loko,Word of mouth,Information
corona is real and it's can transfer from person to person by touch the sick person,11/8/2022,Western Urban,Market/Shops/Street Word of mouth Television Radio,Information
ebola was very dangerous and it's kill,11/10/2022,Western Urban,Word of mouth Television Radio,Information
"the vaccine can seriously affected asmar patience,",11/9/2022,Western Urban,Word of mouth,Concerns
flooding has been taken place in  f/town for the past 2 years,11/10/2022,Kambia,Market/Shops/Street Word of mouth Television Radio WhatsApp,Information
"one lactating mother said now she is still refused to take covid19 vaccine because the attitude of the nurses especially the midwife.she can't  talk to the people with respect.
she said in fact covid19 is real but it is not here in sierra leone,government just want to collected money to various ngos and the white people to satisfied others.",11/9/2022,Kambia,Market/Shops/Street Word of mouth,Concerns
"the vaccine can stop them not to give birth again, to reduce the population of africa.",11/10/2022,Western Urban,Word of mouth,Information
the vaccine is to reduce the population of africa,11/10/2022,Western Urban,Word of mouth,Concerns
after taken covid 19 marklate i become active than before,11/9/2022,Bo,Word of mouth,Information
"a man side that he did not take the covid 19 vaccine at all• but through some mobilisers, sensitize us the important of the vaccine make him to take the covid vaccine",11/10/2022,Western Urban,Social mobilization Activities,Information
covid 19 is has ended in sierra leone,11/10/2022,Western Urban,Market/Shops/Street,Rumors
mobilizers  engage the community mothers  fathers and youths  to take  the  covid19  vaccine,11/10/2022,Tonkolili,Word of mouth,Information
covid19 marklate,11/10/2022,Tonkolili,Word of mouth,Information
covid19 marklate,11/10/2022,Tonkolili,Word of mouth,Concerns
the world is full of evil,11/10/2022,Bonthe,Word of mouth,Information
covid19 vaccine is causing mental health issue  on youths,11/8/2022,Bo,Word of mouth,Misinformation
the new born and pregnant women can not take covid.19 vaccine.,11/11/2022,Tonkolili,Word of mouth,Rumors
njagbla community people are appealing to health worker's at foya chp to do more health education concerned covid 19 vaccination and hpv vaccination,11/11/2022,Bo,Word of mouth,Concerns
the world 🌎 is now over full of evil,11/11/2022,Bonthe,Radio WhatsApp,Information
the world is full of evil,11/11/2022,Bonthe,Radio WhatsApp,Information
i got diarrhea after taken  hpv vaccine,11/11/2022,Bo,Word of mouth,Rumors
"the others think, the vaccine will kill",11/11/2022,Tonkolili,Word of mouth,Misinformation
some aged members of the community realize the elimination of longtime pain in their system after the innocution,11/11/2022,Western Urban,Word of mouth,Concerns
what is the current status about covid 19 in sierra leone??,11/11/2022,Western Urban,Word of mouth,Concerns
the covid19 vacation has helped me to do more jobs than before since i was beating by the rabel,11/8/2022,Tonkolili,Word of mouth,Information
hpv vaccine make girl not to bond,11/11/2022,Bo,Word of mouth,Misinformation
government bring convid 19 to make money,11/11/2022,Bo,Word of mouth,Misinformation
she said she has been earing so many things about the vaccine . that's why. she's ready now.,11/11/2022,Western Urban,Word of mouth,Rumors
"it is not certain that the covid vaccine provides effective prevention, it just a trial,  it is not safe.",11/10/2022,Western Urban,Word of mouth WhatsApp Blog,Information
my head aches seriously when i got vaccinated with covid 19 vaccine.,11/11/2022,Bo,Word of mouth,Rumors
i have made chiefdom bylaws for taken covid19 vaccine,11/11/2022,Bo,Word of mouth,Concerns
no more headlines on the disease in sierra leone and why should i take covid-19 vaccine ?.,11/10/2022,Bo,Market/Shops/Street Word of mouth,Misinformation
i have lay bylaws that every youth want to make social activities must check for his or her vaccinative card,11/11/2022,Bo,Word of mouth,Rumors
they are already the full dose of c-19 vaccine,11/11/2022,Port Loko,Word of mouth,Concerns
covid 19 vaccine can give mix feeling to people when they are vaccinated.,11/11/2022,Western Urban,Market/Shops/Street,Concerns
some people are saying that when they take the vaccine it makes them week and sleep a lot,11/11/2022,Western Urban,Word of mouth,Concerns
corona vaccine is safe but when i take it i feel weak but after later i felt okay,11/10/2022,Western Urban,Word of mouth,Concerns
people are saying that vaccine give them head ache,11/11/2022,Western Urban,Word of mouth,Concerns
some people are saying that when they take the first does nothing happened to them so they went for the second doses,11/11/2022,Western Urban,Word of mouth,Information
"people said that  h p v  was  to stop  the rate of  child reproduction because the vaccine only target young girls, not those that are nature.",11/10/2022,Port Loko,Word of mouth,Misinformation
"ebola and coronavirus which one is more killer diseases. one man responded by say ebola is more killer than covid19 in sierra leone,but ebola brought more funds or money and employment to youths,but coranavirus is not killed any body in sierra leone and its not here in sierra leone government just want to get money to campaign people to rule ten years",11/10/2022,Kambia,Word of mouth WhatsApp,Rumors
if they take the vaccine it will lead to after ineffect after five years,11/11/2022,Port Loko,Word of mouth WhatsApp,Rumors
if you take the vaccine and it meet sick in your body it will affect you,11/11/2022,Western Urban,Social mobilization Activities,Rumors
covid 19 maklate,11/7/2022,Tonkolili,Social mobilization Activities Word of mouth Other Social Media,Information
"community people said that, all the phu that at gbinleh chiefdom, they have no medicine to treatment people.",11/11/2022,Kambia,Word of mouth,Rumors
covid-19 vaccines lead deaf if someone take it,11/10/2022,Kambia,Word of mouth,Misinformation
we get one death case of covid vaccine in kenema  districe,11/9/2022,Koinadugu,Word of mouth,Rumors
